processor, function, execution_time, fps
cpu,GaussianBlur, 0.8325245380401611, 1.20116579669122
cpu,GaussianBlur, 0.8020024299621582, 1.2468790151261564
cpu,GaussianBlur, 0.8984365463256836, 1.113044659736604
cpu,GaussianBlur, 0.8840713500976562, 1.1311304227758745
cpu,GaussianBlur, 0.8130764961242676, 1.2298965777104
cpu,GaussianBlur, 0.829073429107666, 1.2061657808480277
cpu,GaussianBlur, 0.8209228515625, 1.2181412639405205
cpu,GaussianBlur, 0.811537504196167, 1.232228941767154
cpu,GaussianBlur, 0.8205304145812988, 1.218723867183255
cpu,GaussianBlur, 0.8662807941436768, 1.1543601182899426
cpu,GaussianBlur, 0.7574503421783447, 1.320218559970689
cpu,GaussianBlur, 0.8668198585510254, 1.1536422361984164
cpu,GaussianBlur, 0.9346930980682373, 1.0698698878452562
cpu,GaussianBlur, 0.8244001865386963, 1.21300312194078
cpu,GaussianBlur, 0.9875483512878418, 1.0126086471572964
cpu,GaussianBlur, 1.0166881084442139, 0.9835858132837308
cpu,GaussianBlur, 0.9161789417266846, 1.0914898328871665
cpu,GaussianBlur, 0.8571205139160156, 1.1666970790737419
cpu,GaussianBlur, 0.923053503036499, 1.0833608200503828
cpu,GaussianBlur, 0.7911317348480225, 1.2640119918740227
cpu,GaussianBlur, 0.7975432872772217, 1.2538504379040751
cpu,GaussianBlur, 0.783583402633667, 1.2761883376280623
cpu,GaussianBlur, 0.8711395263671875, 1.1479217389781227
cpu,GaussianBlur, 0.8061976432800293, 1.2403906267097016
cpu,GaussianBlur, 0.8095414638519287, 1.2352671785850706
cpu,GaussianBlur, 0.7790884971618652, 1.283551231526189
cpu,GaussianBlur, 0.8077640533447266, 1.2379852704007783
cpu,GaussianBlur, 0.755230188369751, 1.3240996128062785
cpu,GaussianBlur, 0.7742359638214111, 1.2915959045150538
cpu,GaussianBlur, 0.7837071418762207, 1.2759868407042547
cpu,GaussianBlur, 0.7866780757904053, 1.2711680047715352
cpu,GaussianBlur, 0.7933595180511475, 1.260462598919158
cpu,GaussianBlur, 0.7643532752990723, 1.3082955647815142
cpu,GaussianBlur, 0.7541177272796631, 1.3260529010600384
cpu,GaussianBlur, 0.836766242980957, 1.195076890814246
cpu,GaussianBlur, 0.7422566413879395, 1.3472429133542119
cpu,GaussianBlur, 0.8245155811309814, 1.2128333568036496
cpu,GaussianBlur, 0.7911739349365234, 1.263944571278414
cpu,GaussianBlur, 0.7871150970458984, 1.2704622281456353
cpu,GaussianBlur, 0.7630534172058105, 1.310524240441584
cpu,GaussianBlur, 0.806105375289917, 1.240532603619407
cpu,GaussianBlur, 0.7835507392883301, 1.2762415372210136
cpu,GaussianBlur, 1.0117576122283936, 0.988379022716224
cpu,GaussianBlur, 0.8880388736724854, 1.1260768302456168
cpu,GaussianBlur, 0.9844350814819336, 1.0158110156889528
cpu,GaussianBlur, 0.7911574840545654, 1.2639708530280818
cpu,GaussianBlur, 0.8241012096405029, 1.2134431891396316
cpu,GaussianBlur, 0.7615623474121094, 1.3130901276804632
cpu,GaussianBlur, 0.8055462837219238, 1.2413935986143807
cpu,GaussianBlur, 1.545748233795166, 0.6469358839536054
gpu,GaussianBlur, 0.11269402503967285, 8.873584909652127
gpu,GaussianBlur, 0.09094643592834473, 10.995483108187816
gpu,GaussianBlur, 0.08095836639404297, 12.352027894594244
gpu,GaussianBlur, 0.09394645690917969, 10.644360978580854
gpu,GaussianBlur, 0.08295273780822754, 12.055057209948007
gpu,GaussianBlur, 0.11793303489685059, 8.479388331476791
gpu,GaussianBlur, 0.10094213485717773, 9.90666584786316
gpu,GaussianBlur, 0.16691040992736816, 5.991238056602668
gpu,GaussianBlur, 0.10414266586303711, 9.602212423822017
gpu,GaussianBlur, 0.08894991874694824, 11.242281208203
gpu,GaussianBlur, 0.08095383644104004, 12.35271907994522
gpu,GaussianBlur, 0.0739588737487793, 13.521027962063918
gpu,GaussianBlur, 0.07549476623535156, 13.245951340289533
gpu,GaussianBlur, 0.0799553394317627, 12.506982111600474
gpu,GaussianBlur, 0.07895588874816895, 12.665299775036614
gpu,GaussianBlur, 0.09194779396057129, 10.875736729788388
gpu,GaussianBlur, 0.09194827079772949, 10.875680328995305
gpu,GaussianBlur, 0.10993695259094238, 9.096122608754113
gpu,GaussianBlur, 0.08778786659240723, 11.391095817864311
gpu,GaussianBlur, 0.08095502853393555, 12.352537181563834
gpu,GaussianBlur, 0.0799555778503418, 12.506944817180447
gpu,GaussianBlur, 0.08248758316040039, 12.12303672487846
gpu,GaussianBlur, 0.11593294143676758, 8.625676081421796
gpu,GaussianBlur, 0.10693955421447754, 9.351076945714624
gpu,GaussianBlur, 0.09326291084289551, 10.72237603311067
gpu,GaussianBlur, 0.10494089126586914, 9.529173880051074
gpu,GaussianBlur, 0.11585187911987305, 8.631711523343444
gpu,GaussianBlur, 0.10010218620300293, 9.98979181106038
gpu,GaussianBlur, 0.08869647979736328, 11.274404601903123
gpu,GaussianBlur, 0.10094547271728516, 9.906338274334193
gpu,GaussianBlur, 0.07416987419128418, 13.482562979964062
gpu,GaussianBlur, 0.07995319366455078, 12.50731777138972
gpu,GaussianBlur, 0.07395505905151367, 13.521725394113286
gpu,GaussianBlur, 0.07895517349243164, 12.665414510118914
gpu,GaussianBlur, 0.07395625114440918, 13.521507438869099
gpu,GaussianBlur, 0.07195520401000977, 13.897535470275214
gpu,GaussianBlur, 0.07895708084106445, 12.665108554518827
gpu,GaussianBlur, 0.07695508003234863, 12.99459372376252
gpu,GaussianBlur, 0.0796194076538086, 12.559751817648257
